Day,Problem Number,Problem Name,LeetCode Link,Difficulty,Topic,Subtopic,Pattern,Companies,Hint,Completed,Notes
3,206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,Linked Lists,Basic,Iterative,Google|Amazon|Meta,Three pointers for reversal,FALSE,
3,21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,Linked Lists,Merging,Two Pointers,Amazon|Microsoft|Apple,Merge while comparing nodes,FALSE,
3,141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,Linked Lists,Detection,Floyd Cycle,Meta|Google,Fast and slow pointer detection,FALSE,
3,203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,Easy,Linked Lists,Removal,Iterative,Amazon|Apple,Careful pointer manipulation for removal,FALSE,
4,100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,Trees,Comparison,Recursion,Google|Meta|Amazon,Compare recursively at each node,FALSE,
4,101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,Trees,Validation,Recursion,Apple|Microsoft,Check mirror property recursively,FALSE,
4,104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,Trees,Traversal,DFS,Google|Amazon|Meta,Recursively find max depth,FALSE,
4,226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,Trees,Transformation,Recursion,Google|Meta|Amazon,Swap left and right recursively,FALSE,
4,235,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Easy,Binary Search Trees,LCA,BST Property,Amazon|Google|Meta,Use BST property to guide search,FALSE,
4,257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/,Easy,Trees,Paths,DFS,Apple|Microsoft,DFS with path tracking,FALSE,
4,111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,Easy,Trees,Traversal,DFS,Google|Amazon,Find leaf node with minimum depth,FALSE,
5,202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,Hash Maps,Cycle Detection,Hash Map,Amazon|Meta,Detect cycle in number transformation,FALSE,
5,205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,Strings,Pattern,Hash Map,Amazon|Google,Map characters bidirectionally,FALSE,
5,383,Ransom Note,https://leetcode.com/problems/ransom-note/,Easy,Strings,Counting,Hash Map,Amazon|Apple,Check character availability in magazine,FALSE,
5,349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,Easy,Arrays,Set Operations,Hash Map,Meta|Google,Find common elements using set,FALSE,
5,350,Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii/,Easy,Arrays,Set Operations,Hash Map,Amazon|Microsoft,Handle duplicates in intersection,FALSE,
5,367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,Easy,Binary Search,Math,Binary Search,Google|Apple,Binary search for perfect square,FALSE,
5,371,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Easy,Bit Manipulation,Arithmetic,Bit Manipulation,Meta|Google,Use XOR and AND for addition,FALSE,
6,9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,Arrays,Math,Number Reversal,Amazon|Google,Reverse and compare approach,FALSE,
6,66,Plus One,https://leetcode.com/problems/plus-one/,Easy,Arrays,Math,Digit Manipulation,Google|Meta|Amazon,Handle carry propagation,FALSE,
6,189,Rotate Array,https://leetcode.com/problems/rotate-array/,Easy,Arrays,Rotation,Array Manipulation,Amazon|Microsoft,Reverse subarrays approach,FALSE,
6,238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Easy,Arrays,Prefix/Suffix,One Pass,Google|Meta|Amazon,Use prefix and suffix products,FALSE,
6,118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,Arrays,Math,Dynamic Programming,Amazon|Apple,Build row by row,FALSE,
6,119,Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/,Easy,Arrays,Math,Dynamic Programming,Microsoft|Google,Generate specific row efficiently,FALSE,
7,3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Strings,Sliding Window,Sliding Window,Google|Meta|Amazon|Apple,Sliding window with hash map for character tracking,FALSE,
7,15,3Sum,https://leetcode.com/problems/3sum/,Medium,Arrays,Searching,Two Pointers,Google|Meta|Amazon,Fix one element and use two pointers,FALSE,
7,167,Two Sum II Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,Arrays,Searching,Two Pointers,Amazon|Microsoft,Two pointers on sorted array,FALSE,
7,11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,Arrays,Optimization,Two Pointers,Google|Meta|Amazon,Greedy two pointer approach,FALSE,
7,16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,Arrays,Searching,Two Pointers,Google|Amazon,Sort and use two pointers with target tracking,FALSE,
7,18,4Sum,https://leetcode.com/problems/4sum/,Medium,Arrays,Searching,Two Pointers,Amazon|Meta,Nested loops with two pointers,FALSE,
7,209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,Arrays,Sliding Window,Sliding Window,Amazon|Google,Sliding window to find minimum length,FALSE,
8,424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,Strings,Sliding Window,Sliding Window,Google|Amazon|Meta,Track character frequencies in window,FALSE,
8,76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Medium,Strings,Sliding Window,Sliding Window,Google|Meta|Amazon,Use two pointers and character frequency,FALSE,
8,438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,Strings,Sliding Window,Sliding Window,Amazon|Apple,Sliding window with character count matching,FALSE,
8,567,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,Strings,Sliding Window,Sliding Window,Google|Amazon,Check if permutation exists as substring,FALSE,
8,239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,Arrays,Sliding Window,Deque,Google|Meta|Amazon,Use deque to track maximum in window,FALSE,
8,862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,Hard,Arrays,Sliding Window,Prefix Sum + Deque,Amazon|Google,Prefix sum with deque for efficiency,FALSE,
9,71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,Stack,Path Parsing,Stack,Google|Amazon|Meta,Use stack to process directory operations,FALSE,
9,394,Decode String,https://leetcode.com/problems/decode-string/,Medium,Stack,String Processing,Stack,Amazon|Google|Meta,Stack based string decoding,FALSE,
9,150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,Stack,Calculation,Stack,Meta|Apple|Microsoft,Stack for postfix expression evaluation,FALSE,
9,227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,Stack,Calculation,Stack,Google|Amazon,Handle operator precedence with stack,FALSE,
9,32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,Stack,Validation,Stack,Google|Meta|Amazon,Use stack to track unmatched parentheses,FALSE,
9,84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,Stack,Geometry,Monotonic Stack,Google|Amazon|Meta,Monotonic increasing stack for efficiency,FALSE,
10,234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,Easy,Linked Lists,Validation,Slow/Fast Pointers,Amazon|Google|Meta,Find middle and reverse second half,FALSE,
10,19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,Linked Lists,Removal,Two Pointers,Google|Meta|Amazon,Two pointer gap technique,FALSE,
10,24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,Linked Lists,Swapping,Recursion,Google|Amazon|Meta,Recursively swap adjacent nodes,FALSE,
10,25,Reverse Nodes in k Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,Linked Lists,Reversal,Recursion,Google|Meta|Amazon,Reverse groups of k nodes,FALSE,
10,92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,Linked Lists,Reversal,Iterative,Amazon|Google|Meta,Reverse portion of list,FALSE,
10,143,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,Linked Lists,Reordering,Slow/Fast Pointers,Amazon|Meta|Google,Find middle then merge,FALSE,
11,102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,Trees,Traversal,BFS,Google|Meta|Amazon|Apple,Queue based level order traversal,FALSE,
11,103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,Trees,Traversal,BFS,Google|Amazon|Meta,Level order with alternating direction,FALSE,
11,107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,Easy,Trees,Traversal,BFS,Amazon|Apple|Microsoft,Reverse level order,FALSE,
11,199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,Trees,Traversal,BFS,Google|Meta|Amazon,View from right perspective,FALSE,
11,637,Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,Easy,Trees,Traversal,BFS,Amazon|Apple,Compute average at each level,FALSE,
11,515,Find Largest Value in Each Tree Row,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,Medium,Trees,Traversal,BFS,Google|Amazon|Meta,Track maximum per level,FALSE,
12,105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,Trees,Construction,Recursion,Google|Meta|Amazon,Use preorder and inorder properties,FALSE,
12,106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,Trees,Construction,Recursion,Amazon|Google|Meta,Use postorder and inorder properties,FALSE,
12,654,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree/,Medium,Trees,Construction,Recursion,Google|Amazon,Build tree from maximum element,FALSE,
12,889,Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,Medium,Trees,Construction,Recursion,Amazon|Meta|Google,Build from preorder and postorder,FALSE,
12,108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,Binary Search Trees,Construction,Recursion,Google|Amazon|Apple,Use middle element as root,FALSE,
12,109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,Binary Search Trees,Construction,Recursion,Meta|Google|Amazon,Slow/fast pointers to find middle,FALSE,
13,230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,Binary Search Trees,Search,Inorder,Google|Meta|Amazon,Inorder traversal gives sorted sequence,FALSE,
13,98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,Binary Search Trees,Validation,Recursion,Google|Amazon|Meta,Track min/max bounds recursively,FALSE,
13,173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,Medium,Binary Search Trees,Iterator,Stack,Google|Meta|Amazon,Stack based in-order traversal,FALSE,
13,701,Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/,Easy,Binary Search Trees,Insertion,Recursion,Amazon|Apple|Google,Navigate tree using BST property,FALSE,
13,450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,Medium,Binary Search Trees,Deletion,Recursion,Google|Meta|Amazon,Handle three deletion cases,FALSE,
13,783,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,Easy,Binary Search Trees,Traversal,Inorder,Amazon|Apple,Track previous in inorder,FALSE,
14,199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,Trees,Traversal,DFS,Google|Meta|Amazon,DFS with level tracking,FALSE,
14,124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,Trees,Paths,DFS,Google|Meta|Amazon,Track sum at each node,FALSE,
14,112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,Trees,Paths,DFS,Amazon|Google|Apple,DFS to check if path exists,FALSE,
14,113,Path Sum II,https://leetcode.com/problems/path-sum-ii/,Medium,Trees,Paths,Backtracking,Google|Meta|Amazon,Find all paths with target sum,FALSE,
14,114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,Trees,Transformation,DFS,Google|Amazon|Meta,Transform tree into linked list,FALSE,
14,129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,Trees,Paths,DFS,Amazon|Google|Meta,Accumulate numbers as path,FALSE,
15,98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,Binary Search Trees,Validation,Recursion,Google|Amazon|Meta,Validate BST property with bounds,FALSE,
15,235,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Easy,Binary Search Trees,LCA,BST Property,Amazon|Google|Meta,Use BST structure to find LCA,FALSE,
15,236,Lowest Common Ancestor of Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,Trees,LCA,DFS,Google|Meta|Amazon,Find LCA in general tree,FALSE,
15,1644,Lowest Common Ancestor of a Binary Tree II,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/,Medium,Trees,LCA,DFS,Google|Amazon,Handle case where nodes might not exist,FALSE,
15,1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,Medium,Trees,LCA,Two Pointers,Meta|Google|Amazon,Use parent pointers for LCA,FALSE,
15,1676,Lowest Common Ancestor of a Binary Tree IV,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/,Medium,Trees,LCA,DFS,Google|Amazon,Find LCA of multiple nodes,FALSE,
16,216,Combination Sum III,https://leetcode.com/problems/combination-sum-iii/,Medium,Backtracking,Combination,Backtracking,Amazon|Google,Find combinations with constraints,FALSE,
16,17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,Backtracking,Combination,Backtracking,Google|Meta|Amazon,Generate all letter combinations,FALSE,
16,39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,Backtracking,Combination,Backtracking,Amazon|Google|Meta,Find combinations with repetition allowed,FALSE,
16,40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,Backtracking,Combination,Backtracking,Google|Amazon|Meta,Find combinations without repetition,FALSE,
16,77,Combinations,https://leetcode.com/problems/combinations/,Medium,Backtracking,Combination,Backtracking,Amazon|Google|Meta,Generate all combinations of size k,FALSE,
16,78,Subsets,https://leetcode.com/problems/subsets/,Medium,Backtracking,Subset,Backtracking,Google|Meta|Amazon,Generate all subsets,FALSE,
17,90,Subsets II,https://leetcode.com/problems/subsets-ii/,Medium,Backtracking,Subset,Backtracking,Amazon|Google|Meta,Generate subsets from duplicate array,FALSE,
17,46,Permutations,https://leetcode.com/problems/permutations/,Medium,Backtracking,Permutation,Backtracking,Google|Amazon|Meta,Generate all permutations,FALSE,
17,47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,Backtracking,Permutation,Backtracking,Google|Amazon|Meta,Generate permutations from duplicates,FALSE,
17,22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,Backtracking,String Generation,Backtracking,Google|Meta|Amazon,Build valid parenthesis combinations,FALSE,
17,51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,Backtracking,Constraint,Backtracking,Google|Meta|Amazon,Place queens with backtracking,FALSE,
18,52,N-Queens II,https://leetcode.com/problems/n-queens-ii/,Hard,Backtracking,Constraint,Backtracking,Google|Amazon,Count N-Queens solutions,FALSE,
18,37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,Backtracking,Constraint,Backtracking,Amazon|Google|Meta,Solve sudoku with backtracking,FALSE,
18,79,Word Search,https://leetcode.com/problems/word-search/,Medium,Backtracking,String Search,Backtracking,Amazon|Google|Meta,Search for word in 2D grid,FALSE,
18,212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,Backtracking,String Search,Trie + Backtracking,Google|Amazon|Meta,Find multiple words in grid with Trie,FALSE,
18,44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,Backtracking,Pattern Matching,Dynamic Programming,Google|Meta|Amazon,Match pattern with wildcards,FALSE,
19,70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,Dynamic Programming,1D,Recursion + Memoization,Amazon|Google|Apple,Build up from base cases,FALSE,
19,198,House Robber,https://leetcode.com/problems/house-robber/,Medium,Dynamic Programming,1D,Recursion + Memoization,Google|Meta|Amazon,Track max value not robbing adjacent,FALSE,
19,213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,Dynamic Programming,1D,Recursion + Memoization,Amazon|Google|Meta,Handle circular constraint,FALSE,
19,740,Delete and Earn,https://leetcode.com/problems/delete-and-earn/,Medium,Dynamic Programming,1D,Recursion + Memoization,Google|Amazon,Similar to house robber with twist,FALSE,
19,509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,Dynamic Programming,1D,Recursion + Memoization,Amazon|Apple|Google,Basic DP with memoization,FALSE,
19,1137,N-th Tribonacci Number,https://leetcode.com/problems/n-th-tribonacci-number/,Easy,Dynamic Programming,1D,Recursion + Memoization,Amazon|Google,Extend Fibonacci pattern,FALSE,
20,62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,Dynamic Programming,2D,Bottom-Up,Google|Meta|Amazon,Fill 2D grid with DP,FALSE,
20,63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,Dynamic Programming,2D,Bottom-Up,Amazon|Google|Meta,Handle obstacles in grid,FALSE,
20,64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,Dynamic Programming,2D,Bottom-Up,Google|Amazon|Meta,Find minimum cost path,FALSE,
20,1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,Dynamic Programming,2D,Bottom-Up,Amazon|Google|Meta,Classic 2D DP problem,FALSE,
20,72,Edit Distance,https://leetcode.com/problems/edit-distance/,Hard,Dynamic Programming,2D,Bottom-Up,Google|Meta|Amazon,Levenshtein distance,FALSE,
20,1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence/,Hard,Dynamic Programming,2D,Bottom-Up,Google|Amazon,Build shortest supersequence,FALSE,
21,300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,Dynamic Programming,1D,Binary Search,Google|Meta|Amazon|Apple,O(n log n) with binary search,FALSE,
21,354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/,Hard,Dynamic Programming,Sorting,Binary Search,Google|Amazon|Meta,2D LIS variant,FALSE,
21,1964,Find the Longest Valid Obstacle Course at Each Position,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position/,Hard,Dynamic Programming,1D,Binary Search,Google|Amazon,LIS with obstacles,FALSE,
21,0,Longest Decreasing Subsequence (Variation),https://leetcode.com/problems/,Hard,Dynamic Programming,1D,Binary Search,Google|Amazon,Reverse of LIS pattern,FALSE,
21,416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Amazon|Google|Meta,Classic 0/1 knapsack variant,FALSE,
21,494,Target Sum,https://leetcode.com/problems/target-sum/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Google|Amazon|Meta,Subset sum variant,FALSE,
22,1049,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/,Medium,Dynamic Programming,Knapsack,0/1 Knapsack,Google|Amazon,Minimize difference using knapsack,FALSE,
22,322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Amazon|Google|Meta|Apple,Minimum coins for target,FALSE,
22,518,Coin Change 2,https://leetcode.com/problems/coin-change-2/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Google|Amazon|Meta,Count ways to make change,FALSE,
22,377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Amazon|Google|Meta,Count ordered combinations,FALSE,
22,1155,Number of Dice Rolls with Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,Dynamic Programming,Knapsack,Unbounded Knapsack,Google|Amazon,Dice rolls to target sum,FALSE,
22,10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,Dynamic Programming,String Matching,2D DP,Google|Meta|Amazon,Complex regex pattern matching,FALSE,
23,32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,Dynamic Programming,String,Stack/DP,Google|Meta|Amazon,Track valid parentheses length,FALSE,
23,115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,Dynamic Programming,String,2D DP,Amazon|Google|Meta,Count distinct subsequences,FALSE,
23,97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,Dynamic Programming,String,2D DP,Google|Amazon|Meta,Check if interleaving possible,FALSE,
23,131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,Backtracking,String,Backtracking,Amazon|Google|Meta,Find all palindrome partitions,FALSE,
23,132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,Dynamic Programming,String,DP + Backtracking,Google|Amazon|Meta,Minimum palindrome cuts,FALSE,
24,139,Word Break,https://leetcode.com/problems/word-break/,Medium,Dynamic Programming,String,DP + Hash Map,Amazon|Google|Meta|Apple,Check if word break possible,FALSE,
24,140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,Dynamic Programming,String,Backtracking + Memoization,Google|Amazon|Meta,Find all word break combinations,FALSE,
24,5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,Dynamic Programming,String,Expand Around Center,Google|Meta|Amazon,Find longest palindrome,FALSE,
24,516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,Medium,Dynamic Programming,String,2D DP,Amazon|Google,Longest palindrome subsequence,FALSE,
24,214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,Hard,Dynamic Programming,String,KMP Algorithm,Google|Amazon,Add characters to make palindrome,FALSE,
25,200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,Graphs,Search,DFS/BFS,Google|Meta|Amazon|Apple,Count connected components,FALSE,
25,695,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,Graphs,Search,DFS/BFS,Amazon|Google|Meta,Find largest island,FALSE,
25,827,Making A Large Island,https://leetcode.com/problems/making-a-large-island/,Hard,Graphs,Search,DFS/Union Find,Google|Amazon|Meta,Maximize island by changing one cell,FALSE,
25,733,Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,Graphs,Search,DFS,Amazon|Google,Image flood fill simulation,FALSE,
25,934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge/,Hard,Graphs,Search,BFS + DFS,Google|Amazon,Find shortest distance between islands,FALSE,
26,547,Number of Provinces,https://leetcode.com/problems/number-of-provinces/,Medium,Graphs,Union Find,Union Find,Amazon|Google|Meta,Count connected components with UF,FALSE,
26,261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,Graphs,Validation,Union Find/DFS,Amazon|Google,Validate if graph is tree,FALSE,
26,1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,Medium,Graphs,Union Find,Union Find,Google|Amazon,Find when all connected,FALSE,
26,990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations/,Medium,Graphs,Union Find,Union Find,Google|Amazon|Meta,Check equation satisfiability,FALSE,
26,1202,Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps/,Medium,Graphs,Union Find,Union Find + Sorting,Google|Amazon|Meta,Minimize string with swaps,FALSE,
